"ref_distnm","Year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETECOC","SumOfCPETLEPC","SumOfCPETBILC","SumOfCPETSPEC"
"A W Brown Leadership Academy",2000,1,171.00,140.00,0.00,0.00,2.00
"A W Brown Leadership Academy",2001,1,231.00,201.00,0.00,0.00,0.00
"A W Brown Leadership Academy",2002,1,450.00,397.00,0.00,0.00,9.00
"A W Brown Leadership Academy",2003,1,528.00,401.00,0.00,0.00,28.00
"A W Brown Leadership Academy",2004,1,782.00,653.00,0.00,0.00,74.00
"A W Brown Leadership Academy",2005,2,885.00,763.00,0.00,0.00,89.00
"A W Brown Leadership Academy",2006,2,1031.00,878.00,0.00,0.00,121.00
"A W Brown Leadership Academy",2007,2,1104.00,909.00,0.00,0.00,139.00
"A W Brown Leadership Academy",2008,2,1170.00,983.00,0.00,9.00,115.00
"A W Brown Leadership Academy",2009,2,1223.00,1014.00,14.00,14.00,108.00
"A W Brown Leadership Academy",2010,2,1350.00,866.00,17.00,18.00,113.00
"A W Brown Leadership Academy",2011,2,1395.00,1165.00,15.00,16.00,95.00
"A W Brown Leadership Academy",2012,2,1570.00,1329.00,12.00,12.00,103.00
"A W Brown Leadership Academy",2013,1,520.00,480.00,1.00,1.00,7.00
"A W Brown Leadership Academy",2014,2,1991.00,1641.00,15.00,15.00,127.00
"A W Brown Leadership Academy",2015,2,2152.00,1821.00,13.00,13.00,120.00
"A W Brown Leadership Academy",2016,2,2161.00,1796.00,20.00,20.00,108.00
"A W Brown Leadership Academy",2017,2,2278.00,1767.00,30.00,31.00,110.00
"A W Brown Leadership Academy",2018,2,2144.00,1901.00,23.00,24.00,90.00
"A W Brown Leadership Academy",2019,2,2084.00,1318.00,10.00,10.00,99.00
"A W Brown Leadership Academy",2020,2,1725.00,1050.00,10.00,10.00,91.00
"A+ Academy",2001,1,82.00,7.00,0.00,0.00,0.00
"A+ Academy",2002,1,154.00,82.00,26.00,32.00,14.00
"A+ Academy",2003,1,147.00,129.00,42.00,40.00,17.00
"A+ Academy",2004,1,865.00,315.00,162.00,150.00,120.00
"A+ Academy",2005,1,919.00,775.00,212.00,198.00,122.00
"A+ Academy",2006,1,961.00,714.00,301.00,290.00,106.00
"A+ Academy",2007,1,994.00,701.00,318.00,301.00,108.00
"A+ Academy",2008,1,957.00,808.00,334.00,303.00,76.00
"A+ Academy",2009,1,985.00,811.00,359.00,343.00,63.00
"A+ Academy",2010,1,1033.00,940.00,354.00,341.00,63.00
"A+ Academy",2011,1,1076.00,1011.00,381.00,369.00,75.00
"A+ Academy",2012,1,951.00,885.00,307.00,299.00,83.00
"A+ Academy",2013,1,988.00,918.00,326.00,319.00,88.00
"A+ Academy",2014,1,994.00,926.00,362.00,354.00,103.00
"A+ Academy",2015,1,974.00,914.00,367.00,363.00,109.00
"A+ Academy",2016,1,940.00,854.00,371.00,368.00,106.00
"A+ Academy",2017,1,1068.00,994.00,492.00,489.00,104.00
"A+ Academy",2018,2,1348.00,1123.00,646.00,639.00,110.00
"A+ Academy",2019,2,1409.00,1270.00,702.00,690.00,132.00
"A+ Academy",2020,2,1399.00,1308.00,641.00,171.00,133.00
"A+ Unlimited Potential",2017,2,94.00,47.00,0.00,0.00,4.00
"A+ Unlimited Potential",2018,2,155.00,72.00,6.00,4.00,17.00
"A+ Unlimited Potential",2019,2,180.00,127.00,10.00,10.00,33.00
"A+ Unlimited Potential",2020,1,136.00,92.00,16.00,16.00,27.00
"Academy For Academic Excellence",2000,1,539.00,539.00,0.00,0.00,13.00
"Academy For Academic Excellence",2001,1,457.00,457.00,0.00,0.00,61.00
"Academy For Academic Excellence",2002,1,578.00,577.00,4.00,1.00,59.00
"Academy For Academic Excellence",2003,1,611.00,608.00,2.00,2.00,92.00
"Academy For Academic Excellence",2004,1,539.00,539.00,32.00,10.00,99.00
"Academy For Academic Excellence",2005,1,553.00,553.00,58.00,56.00,116.00
"Academy For Academic Excellence",2006,1,656.00,656.00,34.00,34.00,106.00
"Academy For Academic Excellence",2007,1,658.00,658.00,34.00,32.00,100.00
"Academy For Academic Excellence",2008,1,657.00,657.00,31.00,31.00,94.00
"Academy For Academic Excellence",2009,5,576.00,576.00,56.00,53.00,72.00
"Academy For Academic Excellence",2010,5,497.00,496.00,49.00,49.00,69.00
"Academy For Academic Excellence",2011,5,653.00,653.00,59.00,59.00,147.00
"Academy For Academic Excellence",2012,5,583.00,583.00,74.00,74.00,128.00
"Academy For Academic Excellence",2013,5,579.00,579.00,53.00,52.00,124.00
"Academy For Academic Excellence",2014,5,535.00,535.00,45.00,45.00,137.00
"Academy For Academic Excellence",2015,5,506.00,506.00,65.00,61.00,108.00
"Academy For Academic Excellence",2016,5,486.00,486.00,71.00,65.00,97.00
"Academy For Academic Excellence",2017,5,472.00,472.00,80.00,77.00,103.00
"Academy For Academic Excellence",2018,5,521.00,521.00,111.00,107.00,126.00
"Academy For Academic Excellence",2019,5,505.00,505.00,96.00,92.00,102.00
"Academy For Academic Excellence",2020,4,493.00,493.00,90.00,85.00,109.00
"Academy Of Accelerated Learning In",2019,1,742.00,716.00,427.00,426.00,10.00
"Academy of Accelerated Learning Inc",2002,1,514.00,310.00,88.00,0.00,0.00
"Academy of Accelerated Learning Inc",2003,1,568.00,455.00,120.00,111.00,0.00
"Academy of Accelerated Learning Inc",2004,1,595.00,245.00,71.00,71.00,0.00
"Academy of Accelerated Learning Inc",2005,1,571.00,539.00,189.00,120.00,8.00
"Academy of Accelerated Learning Inc",2006,1,662.00,375.00,200.00,151.00,11.00
"Academy of Accelerated Learning Inc",2007,1,603.00,266.00,118.00,90.00,9.00
"Academy of Accelerated Learning Inc",2008,1,487.00,476.00,201.00,163.00,6.00
"Academy of Accelerated Learning Inc",2009,1,515.00,510.00,236.00,236.00,10.00
"Academy of Accelerated Learning Inc",2010,1,574.00,565.00,259.00,261.00,14.00
"Academy of Accelerated Learning Inc",2011,1,582.00,559.00,340.00,340.00,5.00
"Academy of Accelerated Learning Inc",2012,1,757.00,719.00,358.00,340.00,6.00
"Academy of Accelerated Learning Inc",2013,1,742.00,707.00,399.00,324.00,7.00
"Academy of Accelerated Learning Inc",2014,1,702.00,687.00,380.00,345.00,4.00
"Academy of Accelerated Learning Inc",2015,1,747.00,737.00,419.00,418.00,12.00
"Academy of Accelerated Learning Inc",2016,1,773.00,659.00,412.00,410.00,13.00
"Academy of Accelerated Learning Inc",2017,1,761.00,749.00,442.00,440.00,8.00
"Academy of Accelerated Learning Inc",2018,1,715.00,702.00,432.00,432.00,7.00
"Academy of Accelerated Learning Inc",2020,1,787.00,762.00,423.00,421.00,19.00
"Academy Of Beaumont",2000,1,138.00,83.00,0.00,0.00,0.00
"Academy Of Beaumont",2001,1,183.00,183.00,1.00,1.00,9.00
"Academy Of Beaumont",2002,1,206.00,182.00,0.00,0.00,18.00
"Academy Of Beaumont",2003,1,241.00,230.00,0.00,0.00,21.00
"Academy Of Beaumont",2004,1,351.00,340.00,0.00,0.00,24.00
"Academy Of Beaumont",2005,1,421.00,410.00,0.00,0.00,43.00
"Academy Of Beaumont",2006,1,356.00,352.00,10.00,10.00,22.00
"Academy Of Beaumont",2007,1,366.00,359.00,6.00,2.00,23.00
"Academy Of Beaumont",2008,1,321.00,302.00,0.00,0.00,17.00
"Academy Of Beaumont",2009,1,230.00,224.00,0.00,0.00,10.00
"Academy Of Careers And Technologies",2001,1,40.00,31.00,0.00,0.00,4.00
"Academy Of Careers And Technologies",2002,1,136.00,97.00,0.00,0.00,13.00
"Academy Of Careers And Technologies",2003,1,91.00,71.00,0.00,0.00,14.00
"Academy Of Careers And Technologies",2004,1,135.00,125.00,10.00,10.00,21.00
"Academy Of Careers And Technologies",2005,1,151.00,139.00,4.00,4.00,28.00
"Academy Of Careers And Technologies",2006,1,150.00,107.00,3.00,2.00,24.00
"Academy Of Careers And Technologies",2007,1,127.00,102.00,3.00,2.00,14.00
"Academy Of Careers And Technologies",2008,1,161.00,109.00,7.00,7.00,24.00
"Academy Of Careers And Technologies",2009,1,156.00,110.00,3.00,1.00,27.00
"Academy Of Careers And Technologies",2010,1,145.00,82.00,2.00,0.00,29.00
"Academy Of Careers And Technologies",2011,1,162.00,82.00,4.00,4.00,21.00
"Academy Of Careers And Technologies",2012,1,188.00,49.00,6.00,6.00,19.00
"Academy Of Careers And Technologies",2013,1,192.00,70.00,12.00,12.00,19.00
"Academy Of Careers And Technologies",2014,1,182.00,52.00,8.00,8.00,16.00
"Academy Of Careers And Technologies",2015,1,221.00,81.00,4.00,7.00,10.00
"Academy Of Careers And Technologies",2016,1,190.00,127.00,5.00,5.00,11.00
"Academy Of Dallas",2000,1,178.00,78.00,0.00,0.00,0.00
"Academy Of Dallas",2001,1,249.00,133.00,0.00,0.00,4.00
"Academy Of Dallas",2002,1,376.00,221.00,0.00,0.00,12.00
"Academy Of Dallas",2003,1,571.00,388.00,0.00,0.00,14.00
"Academy Of Dallas",2004,1,598.00,514.00,0.00,0.00,32.00
"Academy Of Dallas",2005,1,508.00,349.00,0.00,0.00,41.00
"Academy Of Dallas",2006,1,496.00,459.00,4.00,4.00,31.00
"Academy Of Dallas",2007,1,571.00,539.00,23.00,21.00,30.00
"Academy Of Dallas",2008,1,510.00,480.00,13.00,11.00,22.00
"Academy Of Dallas",2009,1,520.00,493.00,14.00,12.00,20.00
"Academy Of Dallas",2010,1,535.00,517.00,21.00,21.00,28.00
"Academy Of Dallas",2011,1,495.00,365.00,24.00,23.00,37.00
"Academy Of Dallas",2012,1,537.00,422.00,43.00,43.00,32.00
"Academy Of Dallas",2013,1,617.00,402.00,50.00,49.00,17.00
"Academy Of Dallas",2014,1,603.00,329.00,49.00,51.00,83.00
"Academy Of Dallas",2015,1,644.00,565.00,68.00,64.00,15.00
"Academy Of Dallas",2016,1,604.00,589.00,79.00,73.00,60.00
"Academy Of Dallas",2017,1,476.00,472.00,71.00,70.00,50.00
"Academy Of Dallas",2018,1,432.00,421.00,65.00,67.00,41.00
"Academy Of Dallas",2019,1,487.00,487.00,59.00,56.00,44.00
"Academy Of Dallas",2020,1,480.00,480.00,53.00,47.00,25.00
"Academy Of Houston",1999,1,306.00,82.00,0.00,0.00,0.00
"Academy Of Houston",2000,1,441.00,163.00,0.00,0.00,5.00
"Academy Of Houston",2001,1,589.00,120.00,20.00,20.00,27.00
"Academy Of Houston",2002,1,479.00,324.00,18.00,18.00,16.00
"Academy Of Houston",2003,1,413.00,327.00,8.00,8.00,19.00
"Accelerated Intermediate Academy",2002,1,104.00,75.00,0.00,0.00,21.00
"Accelerated Intermediate Academy",2003,1,184.00,162.00,4.00,0.00,35.00
"Accelerated Intermediate Academy",2004,1,453.00,416.00,34.00,30.00,53.00
"Accelerated Intermediate Academy",2005,2,503.00,392.00,42.00,41.00,69.00
"Accelerated Intermediate Academy",2006,6,815.00,736.00,40.00,40.00,81.00
"Accelerated Intermediate Academy",2007,4,603.00,588.00,42.00,42.00,61.00
"Accelerated Intermediate Academy",2008,3,692.00,684.00,64.00,64.00,54.00
"Accelerated Intermediate Academy",2009,2,491.00,409.00,65.00,64.00,42.00
"Accelerated Intermediate Academy",2010,2,454.00,373.00,122.00,121.00,50.00
"Accelerated Intermediate Academy",2011,1,242.00,231.00,71.00,70.00,30.00
"Accelerated Intermediate Academy",2012,1,258.00,249.00,82.00,81.00,19.00
"Accelerated Intermediate Academy",2013,2,253.00,237.00,91.00,89.00,14.00
"Accelerated Intermediate Academy",2014,2,250.00,238.00,82.00,80.00,15.00
"Accelerated Intermediate Academy",2015,1,254.00,243.00,98.00,97.00,19.00
"Accelerated Intermediate Academy",2016,1,281.00,272.00,110.00,109.00,19.00
"Accelerated Intermediate Academy",2017,3,283.00,269.00,101.00,101.00,13.00
"Accelerated Intermediate Academy",2018,2,269.00,258.00,84.00,84.00,7.00
"Accelerated Intermediate Academy",2019,1,248.00,240.00,87.00,87.00,5.00
"Accelerated Intermediate Academy",2020,1,249.00,236.00,85.00,85.00,5.00
"Advantage Academy",1999,1,80.00,51.00,0.00,0.00,15.00
"Advantage Academy",2000,1,104.00,31.00,0.00,0.00,24.00
"Advantage Academy",2001,1,410.00,202.00,5.00,0.00,26.00
"Advantage Academy",2002,3,346.00,224.00,17.00,11.00,43.00
"Advantage Academy",2003,1,187.00,146.00,8.00,8.00,18.00
"Advantage Academy",2004,1,395.00,312.00,35.00,34.00,32.00
"Advantage Academy",2005,1,404.00,341.00,38.00,37.00,38.00
"Advantage Academy",2006,1,715.00,645.00,70.00,69.00,44.00
"Advantage Academy",2007,1,1212.00,819.00,138.00,128.00,66.00
