NAME,year,CountOfCAMPNAME,SumOfCPETALLC,SumOfCPETECOC,SumOfCPETLEPC,SumOfCPETBILC,SumOfCPETSPEC
A W Brown Leadership Academy,2000,1,171,140,0,0,2
A W Brown Leadership Academy,2001,1,231,201,0,0,0
A W Brown Leadership Academy,2002,1,450,397,0,0,9
A W Brown Leadership Academy,2003,1,528,401,0,0,28
A W Brown Leadership Academy,2004,1,782,653,0,0,74
A W Brown Leadership Academy,2005,2,885,763,0,0,89
A W Brown Leadership Academy,2006,2,1031,878,0,0,121
A W Brown Leadership Academy,2007,2,1104,909,0,0,139
A W Brown Leadership Academy,2008,2,1170,983,0,9,115
A W Brown Leadership Academy,2009,2,1223,1014,14,14,108
A W Brown Leadership Academy,2010,2,1350,866,17,18,113
A W Brown Leadership Academy,2011,2,1395,1165,15,16,95
A W Brown Leadership Academy,2012,2,1570,1329,12,12,103
A W Brown Leadership Academy,2013,1,520,480,1,1,7
A W Brown Leadership Academy,2014,2,1991,1641,15,15,127
A W Brown Leadership Academy,2015,2,2152,1821,13,13,120
A W Brown Leadership Academy,2016,2,2161,1796,20,20,108
A W Brown Leadership Academy,2017,2,2278,1767,30,31,110
A W Brown Leadership Academy,2018,2,2144,1901,23,24,90
A+ Academy,2001,1,82,7,0,0,0
A+ Academy,2002,1,154,82,26,32,14
A+ Academy,2003,1,147,129,42,40,17
A+ Academy,2004,1,865,315,162,150,120
A+ Academy,2005,1,919,775,212,198,122
A+ Academy,2006,1,961,714,301,290,106
A+ Academy,2007,1,994,701,318,301,108
A+ Academy,2008,1,957,808,334,303,76
A+ Academy,2009,1,985,811,359,343,63
A+ Academy,2010,1,1033,940,354,341,63
A+ Academy,2011,1,1076,1011,381,369,75
A+ Academy,2012,1,951,885,307,299,83
A+ Academy,2013,1,988,918,326,319,88
A+ Academy,2014,1,994,926,362,354,103
A+ Academy,2015,1,974,914,367,363,109
A+ Academy,2016,1,940,854,371,368,106
A+ Academy,2017,1,1068,994,492,489,104
A+ Academy,2018,2,1348,1123,646,639,110
A+ Unlimited Potential,2017,2,94,47,0,0,4
A+ Unlimited Potential,2018,2,155,72,6,4,17
Academy For Academic Excellence,2000,1,539,539,0,0,13
Academy For Academic Excellence,2001,1,457,457,0,0,61
Academy For Academic Excellence,2002,1,578,577,4,1,59
Academy For Academic Excellence,2003,1,611,608,2,2,92
Academy For Academic Excellence,2004,1,539,539,32,10,99
Academy For Academic Excellence,2005,1,553,553,58,56,116
Academy For Academic Excellence,2006,1,656,656,34,34,106
Academy For Academic Excellence,2007,1,658,658,34,32,100
Academy For Academic Excellence,2008,1,657,657,31,31,94
Academy For Academic Excellence,2009,5,576,576,56,53,72
Academy For Academic Excellence,2010,5,497,496,49,49,69
Academy For Academic Excellence,2011,5,653,653,59,59,147
Academy For Academic Excellence,2012,5,583,583,74,74,128
Academy For Academic Excellence,2013,5,579,579,53,52,124
Academy For Academic Excellence,2014,5,535,535,45,45,137
Academy For Academic Excellence,2015,5,506,506,65,61,108
Academy For Academic Excellence,2016,5,486,486,71,65,97
Academy For Academic Excellence,2017,5,472,472,80,77,103
Academy For Academic Excellence,2018,5,521,521,111,107,126
Academy of Accelerated Learning Inc,2002,1,514,310,88,0,0
Academy of Accelerated Learning Inc,2003,1,568,455,120,111,0
Academy of Accelerated Learning Inc,2004,1,595,245,71,71,0
Academy of Accelerated Learning Inc,2005,1,571,539,189,120,8
Academy of Accelerated Learning Inc,2006,1,662,375,200,151,11
Academy of Accelerated Learning Inc,2007,1,603,266,118,90,9
Academy of Accelerated Learning Inc,2008,1,487,476,201,163,6
Academy of Accelerated Learning Inc,2009,1,515,510,236,236,10
Academy of Accelerated Learning Inc,2010,1,574,565,259,261,14
Academy of Accelerated Learning Inc,2011,1,582,559,340,340,5
Academy of Accelerated Learning Inc,2012,1,757,719,358,340,6
Academy of Accelerated Learning Inc,2013,1,742,707,399,324,7
Academy of Accelerated Learning Inc,2014,1,702,687,380,345,4
Academy of Accelerated Learning Inc,2015,1,747,737,419,418,12
Academy of Accelerated Learning Inc,2016,1,773,659,412,410,13
Academy of Accelerated Learning Inc,2017,1,761,749,442,440,8
Academy of Accelerated Learning Inc,2018,1,715,702,432,432,7
Academy Of Beaumont,2000,1,138,83,0,0,0
Academy Of Beaumont,2001,1,183,183,1,1,9
Academy Of Beaumont,2002,1,206,182,0,0,18
Academy Of Beaumont,2003,1,241,230,0,0,21
Academy Of Beaumont,2004,1,351,340,0,0,24
Academy Of Beaumont,2005,1,421,410,0,0,43
Academy Of Beaumont,2006,1,356,352,10,10,22
Academy Of Beaumont,2007,1,366,359,6,2,23
Academy Of Beaumont,2008,1,321,302,0,0,17
Academy Of Beaumont,2009,1,230,224,0,0,10
Academy Of Careers And Technologies,2001,1,40,31,0,0,4
Academy Of Careers And Technologies,2002,1,136,97,0,0,13
Academy Of Careers And Technologies,2003,1,91,71,0,0,14
Academy Of Careers And Technologies,2004,1,135,125,10,10,21
Academy Of Careers And Technologies,2005,1,151,139,4,4,28
Academy Of Careers And Technologies,2006,1,150,107,3,2,24
Academy Of Careers And Technologies,2007,1,127,102,3,2,14
Academy Of Careers And Technologies,2008,1,161,109,7,7,24
Academy Of Careers And Technologies,2009,1,156,110,3,1,27
Academy Of Careers And Technologies,2010,1,145,82,2,0,29
Academy Of Careers And Technologies,2011,1,162,82,4,4,21
