"NAME","year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETCOPNUM"
,2008,1,41.00,41.00
,2009,1,24.00,24.00
,2010,1,25.00,24.00
,2011,1,34.00,34.00
,2012,1,43.00,43.00
,2013,1,42.00,42.00
,2014,1,42.00,42.00
"Abilene ISD",2000,1,49.00,0.00
"Abilene ISD",2001,1,116.00,0.00
"Abilene ISD",2002,1,124.00,27.00
"Abilene ISD",2003,1,166.00,33.00
"Abilene ISD",2004,1,193.00,71.00
"Abilene ISD",2005,1,216.00,65.00
"Abilene ISD",2006,1,206.00,119.00
"Abilene ISD",2007,1,135.00,69.00
"Abilene ISD",2008,1,164.00,107.00
"Abilene ISD",2009,1,210.00,149.00
"Abilene ISD",2010,1,159.00,98.00
"Abilene ISD",2011,1,154.00,120.00
"Abilene ISD",2012,1,158.00,135.00
"Abilene ISD",2013,1,159.00,120.00
"Abilene ISD",2014,1,149.00,100.00
"Abilene ISD",2015,1,174.00,92.00
"Abilene ISD",2016,2,453.00,249.00
"Abilene ISD",2017,2,552.00,333.00
"Abilene ISD",2018,2,589.00,359.00
"Alamo Heights ISD",1999,1,57.00,51.00
"Alamo Heights ISD",2000,1,177.00,58.00
"Alamo Heights ISD",2001,1,231.00,60.00
"Alamo Heights ISD",2002,1,220.00,61.00
"Alamo Heights ISD",2003,2,289.00,123.00
"Alamo Heights ISD",2004,1,248.00,132.00
"Alamo Heights ISD",2005,2,379.00,129.00
"Alamo Heights ISD",2006,2,394.00,243.00
"Alamo Heights ISD",2007,2,404.00,237.00
"Alamo Heights ISD",2008,2,398.00,211.00
"Alamo Heights ISD",2009,2,369.00,228.00
"Alamo Heights ISD",2010,2,321.00,181.00
"Alamo Heights ISD",2011,2,318.00,204.00
"Alamo Heights ISD",2012,3,287.00,196.00
"Alamo Heights ISD",2013,3,289.00,198.00
"Alamo Heights ISD",2014,3,292.00,196.00
"Alamo Heights ISD",2015,4,780.00,225.00
"Alamo Heights ISD",2016,4,941.00,285.00
"Alamo Heights ISD",2017,3,858.00,191.00
"Alamo Heights ISD",2018,3,904.00,202.00
"Aldine ISD",2004,2,205.00,180.00
"Aldine ISD",2005,2,370.00,207.00
"Aldine ISD",2006,2,436.00,387.00
"Aldine ISD",2007,2,595.00,534.00
"Aldine ISD",2008,2,750.00,630.00
"Aldine ISD",2009,2,823.00,705.00
"Aldine ISD",2010,3,1323.00,1083.00
"Aldine ISD",2011,4,1790.00,1344.00
"Aldine ISD",2012,5,2274.00,1687.00
"Aldine ISD",2013,5,2405.00,1806.00
"Aldine ISD",2014,6,2665.00,1933.00
"Aldine ISD",2015,6,2725.00,1926.00
"Aldine ISD",2016,6,2848.00,2132.00
"Aldine ISD",2017,8,3816.00,2831.00
"Aldine ISD",2018,10,4739.00,3068.00
"Alief ISD",1999,2,398.00,303.00
"Alief ISD",2000,2,383.00,305.00
"Alief ISD",2001,2,415.00,334.00
"Alief ISD",2002,2,473.00,372.00
"Alief ISD",2003,2,500.00,371.00
"Alief ISD",2004,2,505.00,393.00
"Alief ISD",2005,3,1458.00,1330.00
"Alief ISD",2006,4,1817.00,1689.00
"Alief ISD",2007,6,2401.00,2113.00
"Alief ISD",2008,7,2943.00,2681.00
"Alief ISD",2009,8,2840.00,2497.00
"Alief ISD",2010,9,3858.00,3517.00
"Alief ISD",2011,9,4088.00,3705.00
"Alief ISD",2012,9,4184.00,3766.00
"Alief ISD",2013,9,4286.00,3721.00
"Alief ISD",2014,10,4562.00,3967.00
"Alief ISD",2015,11,5535.00,4568.00
"Alief ISD",2016,11,5706.00,4746.00
"Alief ISD",2017,14,7161.00,5706.00
"Alief ISD",2018,14,7470.00,5599.00
"Amarillo ISD",2002,1,102.00,0.00
"Amarillo ISD",2003,1,124.00,62.00
"Amarillo ISD",2004,1,126.00,73.00
"Amarillo ISD",2005,1,125.00,57.00
"Amarillo ISD",2006,1,137.00,72.00
"Amarillo ISD",2007,1,173.00,87.00
"Amarillo ISD",2008,2,308.00,158.00
"Amarillo ISD",2009,2,336.00,184.00
"Amarillo ISD",2010,2,372.00,190.00
"Amarillo ISD",2011,2,417.00,245.00
"Amarillo ISD",2012,2,437.00,243.00
"Amarillo ISD",2013,2,445.00,179.00
"Amarillo ISD",2014,2,504.00,202.00
"Amarillo ISD",2015,3,631.00,212.00
"Amarillo ISD",2016,3,734.00,298.00
"Amarillo ISD",2017,2,339.00,225.00
"Amarillo ISD",2018,2,407.00,266.00
"Arlington ISD",2000,2,350.00,11.00
"Arlington ISD",2001,2,380.00,63.00
"Arlington ISD",2002,3,687.00,36.00
"Arlington ISD",2003,3,706.00,112.00
"Arlington ISD",2004,3,754.00,282.00
"Arlington ISD",2005,3,853.00,287.00
"Arlington ISD",2006,3,831.00,285.00
"Arlington ISD",2007,3,1086.00,529.00
"Arlington ISD",2008,4,863.00,306.00
"Arlington ISD",2009,7,1394.00,666.00
"Arlington ISD",2010,7,1571.00,829.00
"Arlington ISD",2011,7,1634.00,867.00
"Arlington ISD",2012,9,2297.00,927.00
"Arlington ISD",2013,10,2998.00,1413.00
"Arlington ISD",2014,12,4800.00,2422.00
"Arlington ISD",2015,15,6171.00,3200.00
"Arlington ISD",2016,15,6700.00,3579.00
"Arlington ISD",2017,16,8075.00,4439.00
"Arlington ISD",2018,17,8268.00,4704.00
"Aubrey ISD",2009,1,132.00,1.00
"Aubrey ISD",2010,1,139.00,2.00
"Aubrey ISD",2011,1,114.00,1.00
"Aubrey ISD",2012,1,124.00,4.00
"Aubrey ISD",2013,1,145.00,10.00
"Aubrey ISD",2014,1,177.00,41.00
"Austin ISD",1997,1,93.00,75.00
"Austin ISD",1998,1,155.00,110.00
"Austin ISD",1999,3,473.00,223.00
"Austin ISD",2000,5,583.00,221.00
"Austin ISD",2001,5,515.00,179.00
"Austin ISD",2002,7,665.00,272.00
"Austin ISD",2003,10,1079.00,557.00
"Austin ISD",2004,12,1436.00,757.00
"Austin ISD",2005,12,1635.00,979.00
"Austin ISD",2006,12,1845.00,971.00
"Austin ISD",2007,14,2294.00,1341.00
"Austin ISD",2008,14,2548.00,1387.00
"Austin ISD",2009,16,2743.00,1639.00
"Austin ISD",2010,19,3663.00,2253.00
"Austin ISD",2011,19,3962.00,2503.00
"Austin ISD",2012,18,4199.00,2667.00
"Austin ISD",2013,22,5736.00,3943.00
"Austin ISD",2014,29,8002.00,5744.00
"Austin ISD",2015,32,9854.00,7258.00
"Austin ISD",2016,38,12145.00,9253.00
"Austin ISD",2017,42,13837.00,10349.00
"Austin ISD",2018,43,14831.00,10848.00
"Bastrop ISD",2000,1,42.00,36.00
"Bastrop ISD",2001,1,41.00,32.00
"Bastrop ISD",2002,1,88.00,74.00
"Bastrop ISD",2003,1,57.00,0.00
"Bastrop ISD",2004,1,70.00,53.00
"Bastrop ISD",2005,1,37.00,28.00
"Bastrop ISD",2006,1,43.00,35.00
"Bastrop ISD",2007,1,51.00,41.00
"Bastrop ISD",2008,1,33.00,29.00
"Bastrop ISD",2009,1,22.00,21.00
"Bastrop ISD",2010,1,27.00,27.00
"Beaumont ISD",2002,2,246.00,49.00
"Beaumont ISD",2003,2,361.00,202.00
"Beaumont ISD",2004,2,312.00,225.00
"Beaumont ISD",2005,2,423.00,328.00
"Beaumont ISD",2006,2,458.00,339.00
"Beaumont ISD",2007,3,533.00,426.00
"Beaumont ISD",2008,4,743.00,508.00
"Beaumont ISD",2009,4,857.00,551.00
"Beaumont ISD",2010,4,1000.00,570.00
"Beaumont ISD",2011,3,895.00,513.00
"Beaumont ISD",2012,3,882.00,511.00
"Beaumont ISD",2013,4,983.00,554.00
"Beaumont ISD",2014,5,1111.00,715.00
"Beaumont ISD",2015,5,1258.00,746.00
