"NAME","Year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETECOC","SumOfCPETLEPC","SumOfCPETBILC","SumOfCPETSPEC"
,2019,1,10.00,10.00,0.00,0.00,5.00
"Abilene ISD",2000,1,49.00,0.00,0.00,0.00,0.00
"Abilene ISD",2001,1,116.00,0.00,0.00,0.00,18.00
"Abilene ISD",2002,1,124.00,27.00,0.00,0.00,29.00
"Abilene ISD",2003,1,166.00,33.00,0.00,0.00,35.00
"Abilene ISD",2004,1,193.00,71.00,1.00,1.00,30.00
"Abilene ISD",2005,1,216.00,65.00,3.00,3.00,43.00
"Abilene ISD",2006,1,206.00,119.00,3.00,3.00,30.00
"Abilene ISD",2007,2,339.00,164.00,3.00,3.00,28.00
"Abilene ISD",2008,1,164.00,107.00,4.00,4.00,26.00
"Abilene ISD",2009,1,210.00,149.00,2.00,2.00,35.00
"Abilene ISD",2010,1,159.00,98.00,2.00,2.00,24.00
"Abilene ISD",2011,1,154.00,120.00,3.00,3.00,22.00
"Abilene ISD",2012,1,158.00,135.00,3.00,3.00,21.00
"Abilene ISD",2013,1,159.00,120.00,3.00,3.00,22.00
"Abilene ISD",2014,1,149.00,100.00,3.00,3.00,19.00
"Abilene ISD",2015,1,174.00,92.00,3.00,3.00,23.00
"Abilene ISD",2016,2,453.00,249.00,5.00,5.00,43.00
"Abilene ISD",2017,2,552.00,333.00,5.00,5.00,54.00
"Abilene ISD",2018,2,589.00,359.00,6.00,6.00,50.00
"Abilene ISD",2019,2,626.00,391.00,5.00,0.00,65.00
"Abilene ISD",2020,2,691.00,414.00,10.00,0.00,86.00
"Alamo Heights ISD",1999,1,57.00,51.00,0.00,0.00,7.00
"Alamo Heights ISD",2000,1,177.00,58.00,0.00,0.00,19.00
"Alamo Heights ISD",2001,1,231.00,60.00,0.00,0.00,29.00
"Alamo Heights ISD",2002,1,220.00,61.00,0.00,0.00,23.00
"Alamo Heights ISD",2003,1,237.00,85.00,0.00,0.00,36.00
"Alamo Heights ISD",2004,2,532.00,281.00,0.00,0.00,84.00
"Alamo Heights ISD",2005,2,636.00,251.00,0.00,0.00,86.00
"Alamo Heights ISD",2006,2,394.00,243.00,9.00,7.00,53.00
"Alamo Heights ISD",2007,2,404.00,237.00,2.00,2.00,67.00
"Alamo Heights ISD",2008,2,398.00,211.00,5.00,2.00,58.00
"Alamo Heights ISD",2009,2,369.00,228.00,2.00,1.00,54.00
"Alamo Heights ISD",2010,2,321.00,181.00,3.00,1.00,39.00
"Alamo Heights ISD",2011,3,460.00,329.00,61.00,58.00,60.00
"Alamo Heights ISD",2012,3,287.00,196.00,43.00,43.00,38.00
"Alamo Heights ISD",2013,2,175.00,109.00,5.00,2.00,23.00
"Alamo Heights ISD",2014,2,176.00,113.00,8.00,8.00,29.00
"Alamo Heights ISD",2015,3,689.00,174.00,16.00,9.00,29.00
"Alamo Heights ISD",2016,3,820.00,214.00,10.00,7.00,32.00
"Alamo Heights ISD",2017,3,858.00,191.00,43.00,42.00,28.00
"Alamo Heights ISD",2018,3,904.00,202.00,79.00,55.00,41.00
"Alamo Heights ISD",2019,3,1002.00,243.00,110.00,0.00,36.00
"Alamo Heights ISD",2020,3,979.00,235.00,121.00,0.00,30.00
"Aldine ISD",2000,1,126.00,104.00,0.00,0.00,0.00
"Aldine ISD",2001,1,132.00,50.00,0.00,0.00,4.00
"Aldine ISD",2002,1,163.00,153.00,0.00,0.00,1.00
"Aldine ISD",2003,1,199.00,191.00,0.00,38.00,6.00
"Aldine ISD",2004,2,291.00,283.00,36.00,36.00,9.00
"Aldine ISD",2005,1,132.00,128.00,1.00,1.00,3.00
"Aldine ISD",2006,2,436.00,387.00,1.00,0.00,11.00
"Aldine ISD",2007,3,673.00,600.00,1.00,0.00,41.00
"Aldine ISD",2008,2,750.00,630.00,1.00,2.00,39.00
"Aldine ISD",2009,2,823.00,705.00,2.00,2.00,45.00
"Aldine ISD",2010,3,1323.00,1083.00,140.00,138.00,47.00
"Aldine ISD",2011,4,1790.00,1344.00,175.00,165.00,63.00
"Aldine ISD",2012,5,2274.00,1687.00,164.00,159.00,83.00
"Aldine ISD",2013,5,2405.00,1806.00,209.00,199.00,95.00
"Aldine ISD",2014,6,2665.00,1933.00,359.00,350.00,111.00
"Aldine ISD",2015,6,2725.00,1926.00,375.00,356.00,134.00
"Aldine ISD",2016,6,2848.00,2132.00,475.00,461.00,140.00
"Aldine ISD",2017,9,4236.00,3208.00,878.00,833.00,243.00
"Aldine ISD",2018,10,4739.00,3068.00,984.00,936.00,266.00
"Aldine ISD",2019,10,5049.00,3985.00,1251.00,0.00,288.00
"Aldine ISD",2020,11,5454.00,4494.00,1494.00,0.00,391.00
"Alief ISD",1999,2,398.00,303.00,0.00,0.00,0.00
"Alief ISD",2000,4,502.00,400.00,87.00,44.00,32.00
"Alief ISD",2001,4,548.00,444.00,72.00,44.00,18.00
"Alief ISD",2002,4,680.00,548.00,95.00,19.00,28.00
"Alief ISD",2003,5,690.00,540.00,96.00,28.00,40.00
"Alief ISD",2004,3,528.00,416.00,125.00,128.00,24.00
"Alief ISD",2005,4,1499.00,1371.00,458.00,387.00,30.00
"Alief ISD",2006,5,1864.00,1736.00,661.00,512.00,49.00
"Alief ISD",2007,6,2401.00,2113.00,927.00,866.00,73.00
"Alief ISD",2008,7,2943.00,2681.00,1090.00,1071.00,85.00
"Alief ISD",2009,8,2501.00,2194.00,803.00,794.00,104.00
"Alief ISD",2010,9,3522.00,3109.00,1148.00,1136.00,186.00
"Alief ISD",2011,8,3149.00,2702.00,973.00,971.00,183.00
"Alief ISD",2012,8,3237.00,2695.00,1076.00,1071.00,165.00
"Alief ISD",2013,10,4428.00,3511.00,1256.00,1245.00,209.00
"Alief ISD",2014,11,4847.00,3949.00,1337.00,1315.00,236.00
"Alief ISD",2015,10,5324.00,4371.00,1441.00,1415.00,276.00
"Alief ISD",2016,10,5478.00,4530.00,1515.00,1491.00,311.00
"Alief ISD",2017,14,7161.00,5706.00,2097.00,2076.00,404.00
"Alief ISD",2018,14,7470.00,5599.00,2324.00,2300.00,419.00
"Alief ISD",2019,15,7215.00,6056.00,2111.00,760.00,440.00
"Alief ISD",2020,17,7969.00,6604.00,2849.00,28.00,470.00
"Alvin ISD",2008,1,178.00,124.00,10.00,0.00,74.00
"Alvin ISD",2009,1,192.00,20.00,0.00,0.00,74.00
"Amarillo ISD",2002,1,102.00,0.00,0.00,0.00,3.00
"Amarillo ISD",2003,1,124.00,62.00,0.00,0.00,8.00
"Amarillo ISD",2004,1,126.00,73.00,0.00,0.00,11.00
"Amarillo ISD",2005,1,125.00,57.00,0.00,0.00,12.00
"Amarillo ISD",2006,1,137.00,72.00,0.00,0.00,12.00
"Amarillo ISD",2007,1,173.00,87.00,0.00,0.00,16.00
"Amarillo ISD",2008,2,308.00,158.00,0.00,0.00,26.00
"Amarillo ISD",2009,2,336.00,184.00,0.00,0.00,39.00
"Amarillo ISD",2010,2,372.00,190.00,0.00,0.00,44.00
"Amarillo ISD",2011,1,238.00,161.00,0.00,0.00,31.00
"Amarillo ISD",2012,1,225.00,168.00,0.00,0.00,31.00
"Amarillo ISD",2013,1,215.00,122.00,0.00,0.00,26.00
"Amarillo ISD",2014,1,208.00,137.00,0.00,0.00,26.00
"Amarillo ISD",2015,2,312.00,161.00,0.00,0.00,30.00
"Amarillo ISD",2016,2,386.00,215.00,4.00,4.00,41.00
"Amarillo ISD",2017,2,339.00,225.00,14.00,14.00,31.00
"Amarillo ISD",2018,2,407.00,266.00,17.00,17.00,58.00
"Amarillo ISD",2019,2,388.00,258.00,18.00,0.00,63.00
"Amarillo ISD",2020,2,416.00,275.00,10.00,0.00,69.00
"Angleton ISD",2007,1,202.00,197.00,9.00,4.00,132.00
"Arlington ISD",2000,1,311.00,0.00,0.00,1.00,8.00
"Arlington ISD",2001,1,272.00,15.00,0.00,0.00,14.00
"Arlington ISD",2002,2,544.00,36.00,0.00,0.00,19.00
"Arlington ISD",2003,2,559.00,112.00,12.00,12.00,24.00
"Arlington ISD",2004,3,754.00,282.00,10.00,10.00,124.00
"Arlington ISD",2005,3,853.00,287.00,10.00,9.00,153.00
"Arlington ISD",2006,3,831.00,285.00,9.00,10.00,101.00
"Arlington ISD",2007,3,1086.00,529.00,10.00,9.00,106.00
"Arlington ISD",2008,5,1284.00,504.00,80.00,14.00,87.00
"Arlington ISD",2009,7,1394.00,666.00,122.00,107.00,102.00
"Arlington ISD",2010,7,1571.00,829.00,192.00,179.00,90.00
"Arlington ISD",2011,7,1759.00,895.00,226.00,184.00,117.00
"Arlington ISD",2012,10,2424.00,960.00,297.00,271.00,117.00
"Arlington ISD",2013,10,3131.00,1498.00,394.00,347.00,140.00
"Arlington ISD",2014,12,4935.00,2561.00,849.00,824.00,245.00
"Arlington ISD",2015,14,6008.00,3071.00,979.00,945.00,296.00
