NAME,year,CountOfCAMPNAME,SumOfCPETALLC,SumOfCPETECOPNUM,SumOfCPETLEPC,SumOfCPETBILC,SumOfCPETSPEC
,1997,3,532,155,13,13,8
,1998,3,692,72,9,9,12
,1999,7,1536,906,18,22,78
,2000,22,2200,946,4,4,202
,2001,14,472,232,0,0,135
,2002,2,110,75,3,4,19
,2003,6,674,422,3,69,41
,2004,3,183,125,2,2,25
,2005,1,105,43,2,2,18
,2006,3,557,498,4,5,87
,2007,3,606,384,127,128,37
,2017,1,6,4,0,0,0
Abilene ISD,2000,1,49,0,0,0,0
Abilene ISD,2001,1,116,0,0,0,18
Abilene ISD,2002,1,124,27,0,0,29
Abilene ISD,2003,1,166,33,0,0,35
Abilene ISD,2004,1,193,71,1,1,30
Abilene ISD,2005,1,216,65,3,3,43
Abilene ISD,2006,1,206,119,3,3,30
Abilene ISD,2007,2,339,164,3,3,28
Abilene ISD,2008,1,164,107,4,4,26
Abilene ISD,2009,1,210,149,2,2,35
Abilene ISD,2010,1,159,98,2,2,24
Abilene ISD,2011,1,154,120,3,3,22
Abilene ISD,2012,1,158,135,3,3,21
Abilene ISD,2013,1,159,120,3,3,22
Abilene ISD,2014,1,149,100,3,3,19
Abilene ISD,2015,1,174,92,3,3,23
Abilene ISD,2016,2,453,249,5,5,43
Abilene ISD,2017,2,552,333,5,5,54
Abilene ISD,2018,2,589,359,6,6,50
Alamo Heights ISD,1999,1,57,51,0,0,7
Alamo Heights ISD,2000,1,177,58,0,0,19
Alamo Heights ISD,2001,1,231,60,0,0,29
Alamo Heights ISD,2002,1,220,61,0,0,23
Alamo Heights ISD,2003,1,237,85,0,0,36
Alamo Heights ISD,2004,2,532,281,0,0,84
Alamo Heights ISD,2005,2,636,251,0,0,86
Alamo Heights ISD,2006,2,394,243,9,7,53
Alamo Heights ISD,2007,2,404,237,2,2,67
Alamo Heights ISD,2008,2,398,211,5,2,58
Alamo Heights ISD,2009,2,369,228,2,1,54
Alamo Heights ISD,2010,2,321,181,3,1,39
Alamo Heights ISD,2011,3,460,329,61,58,60
Alamo Heights ISD,2012,3,287,196,43,43,38
Alamo Heights ISD,2013,2,175,109,5,2,23
Alamo Heights ISD,2014,2,176,113,8,8,29
Alamo Heights ISD,2015,3,689,174,16,9,29
Alamo Heights ISD,2016,3,820,214,10,7,32
Alamo Heights ISD,2017,3,858,191,43,42,28
Alamo Heights ISD,2018,3,904,202,79,55,41
Aldine ISD,2000,1,126,104,0,0,0
Aldine ISD,2001,1,132,50,0,0,4
Aldine ISD,2002,1,163,153,0,0,1
Aldine ISD,2003,1,199,191,0,38,6
Aldine ISD,2004,2,291,283,36,36,9
Aldine ISD,2005,1,132,128,1,1,3
Aldine ISD,2006,2,436,387,1,0,11
Aldine ISD,2007,3,673,600,1,0,41
Aldine ISD,2008,2,750,630,1,2,39
Aldine ISD,2009,2,823,705,2,2,45
Aldine ISD,2010,3,1323,1083,140,138,47
Aldine ISD,2011,4,1790,1344,175,165,63
Aldine ISD,2012,5,2274,1687,164,159,83
Aldine ISD,2013,5,2405,1806,209,199,95
Aldine ISD,2014,6,2665,1933,359,350,111
Aldine ISD,2015,6,2725,1926,375,356,134
Aldine ISD,2016,6,2848,2132,475,461,140
Aldine ISD,2017,9,4236,3208,878,833,243
Aldine ISD,2018,10,4739,3068,984,936,266
Alief ISD,1999,2,398,303,0,0,0
Alief ISD,2000,4,502,400,87,44,32
Alief ISD,2001,4,548,444,72,44,18
Alief ISD,2002,4,680,548,95,19,28
Alief ISD,2003,5,690,540,96,28,40
Alief ISD,2004,3,528,416,125,128,24
Alief ISD,2005,4,1499,1371,458,387,30
Alief ISD,2006,5,1864,1736,661,512,49
Alief ISD,2007,6,2401,2113,927,866,73
Alief ISD,2008,7,2943,2681,1090,1071,85
Alief ISD,2009,8,2501,2194,803,794,104
Alief ISD,2010,9,3522,3109,1148,1136,186
Alief ISD,2011,8,3149,2702,973,971,183
Alief ISD,2012,8,3237,2695,1076,1071,165
Alief ISD,2013,10,4428,3511,1256,1245,209
Alief ISD,2014,11,4847,3949,1337,1315,236
Alief ISD,2015,10,5324,4371,1441,1415,276
Alief ISD,2016,10,5478,4530,1515,1491,311
Alief ISD,2017,14,7161,5706,2097,2076,404
Alief ISD,2018,14,7470,5599,2324,2300,419
Alvin ISD,2008,1,178,124,10,0,74
Alvin ISD,2009,1,192,20,0,0,74
Amarillo ISD,2002,1,102,0,0,0,3
Amarillo ISD,2003,1,124,62,0,0,8
Amarillo ISD,2004,1,126,73,0,0,11
Amarillo ISD,2005,1,125,57,0,0,12
Amarillo ISD,2006,1,137,72,0,0,12
Amarillo ISD,2007,1,173,87,0,0,16
Amarillo ISD,2008,2,308,158,0,0,26
Amarillo ISD,2009,2,336,184,0,0,39
Amarillo ISD,2010,2,372,190,0,0,44
Amarillo ISD,2011,1,238,161,0,0,31
Amarillo ISD,2012,1,225,168,0,0,31
Amarillo ISD,2013,1,215,122,0,0,26
Amarillo ISD,2014,1,208,137,0,0,26
Amarillo ISD,2015,2,312,161,0,0,30
Amarillo ISD,2016,2,386,215,4,4,41
Amarillo ISD,2017,2,339,225,14,14,31
Amarillo ISD,2018,2,407,266,17,17,58
Angleton ISD,2007,1,202,197,9,4,132
Arlington ISD,2000,1,311,0,0,1,8
Arlington ISD,2001,1,272,15,0,0,14
Arlington ISD,2002,2,544,36,0,0,19
Arlington ISD,2003,2,559,112,12,12,24
Arlington ISD,2004,3,754,282,10,10,124
Arlington ISD,2005,3,853,287,10,9,153
Arlington ISD,2006,3,831,285,9,10,101
Arlington ISD,2007,3,1086,529,10,9,106
Arlington ISD,2008,5,1284,504,80,14,87
Arlington ISD,2009,7,1394,666,122,107,102
